Plant,Source,Parameter,Units,TimeStamp,Value,Description
Lake,LAKE-1,GFLOW_BT,100SCFH,10/7/2022 0:00,35583.7899,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/12/2022 0:00,46299.41276,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/14/2022 0:00,3928.81719,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/18/2022 0:00,69768.42867,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/19/2022 0:00,2014.6468,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/22/2022 0:00,31545.82467,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,10/26/2022 0:00,462.91075,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/2/2022 0:00,67442.88799,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/4/2022 0:00,29914.15659,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/5/2022 0:00,39093.72714,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/6/2022 0:00,107919.093,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/9/2022 0:00,82971.57976,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/15/2022 0:00,49446.35626,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/16/2022 0:00,43988.91304,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/18/2022 0:00,42102.73454,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/19/2022 0:00,151314.778,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/20/2022 0:00,48164.23986,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/21/2022 0:00,114211.7689,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/27/2022 0:00,48719.82948,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/28/2022 0:00,151936.5389,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/29/2022 0:00,144877.0594,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,11/30/2022 0:00,165056.2046,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/1/2022 0:00,130740.8282,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/2/2022 0:00,155386.3915,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/3/2022 0:00,147828.9604,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/5/2022 0:00,45186.63327,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/6/2022 0:00,47247.63678,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/7/2022 0:00,59474.60254,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/8/2022 0:00,37933.91976,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/9/2022 0:00,101954.3058,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/10/2022 0:00,42844.04466,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/11/2022 0:00,40789.08428,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/17/2022 0:00,1210.466887,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/19/2022 0:00,1437.392384,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/21/2022 0:00,45369.0396,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/22/2022 0:00,53442.294,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/23/2022 0:00,51380.71959,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/24/2022 0:00,52573.08372,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/25/2022 0:00,53574.32969,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/26/2022 0:00,90083.22247,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/30/2022 0:00,48760.92404,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,12/31/2022 0:00,53547.64002,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/1/2023 0:00,48690.90008,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/2/2023 0:00,78234.9411,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/3/2023 0:00,37752.50663,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/4/2023 0:00,90268.52788,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/5/2023 0:00,50510.68332,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/6/2023 0:00,52333.84805,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/7/2023 0:00,103083.5032,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/8/2023 0:00,31777.48453,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/9/2023 0:00,65092.5866,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/10/2023 0:00,70775.51036,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/11/2023 0:00,117353.0684,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/12/2023 0:00,152326.7847,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/13/2023 0:00,161314.0192,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/14/2023 0:00,143800.9095,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/15/2023 0:00,149037.9756,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/16/2023 0:00,161789.6128,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/17/2023 0:00,164570.1272,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/18/2023 0:00,157073.0637,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/19/2023 0:00,147661.5396,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/20/2023 0:00,149606.6381,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/21/2023 0:00,109845.3407,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/22/2023 0:00,95193.92616,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/23/2023 0:00,145487.1879,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/24/2023 0:00,107214.1369,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/25/2023 0:00,89369.4277,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/26/2023 0:00,147924.9214,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/27/2023 0:00,154434.8836,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/28/2023 0:00,120117.1175,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/29/2023 0:00,110255.3722,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/30/2023 0:00,159991.7865,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,1/31/2023 0:00,149275.3799,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/1/2023 0:00,154582.1404,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/2/2023 0:00,155145.4825,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/3/2023 0:00,160865.1465,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/4/2023 0:00,111541.5986,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/5/2023 0:00,106874.6248,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/6/2023 0:00,92681.18743,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/9/2023 0:00,30462.92636,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/10/2023 0:00,12228.27323,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/13/2023 0:00,25960.33825,GFLOW Block Total
